Age,Gender,Education Level,Job Title,Years of Experience,Salary,Remote Work Status,Industry,Company Size,City or Region
29.0,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0,On-site,Manufacturing,Large,Delhi
35.0,Male,Bachelor's,Senior Financial Manager,9.0,100000.0,Remote,Healthcare,Large,Bangalore
44.0,Female,PhD,Senior Product Designer,15.0,150000.0,On-site,Education,Small,Hyderabad
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0,Hybrid,Education,Large,Hyderabad
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,Remote,Consulting,Small,Hyderabad
44.0,Male,Bachelor's,Senior Software Engineer,13.0,130000.0,On-site,Consulting,Large,Bangalore
32.0,Male,Bachelor's,Junior Product Manager,4.0,65000.0,Hybrid,Healthcare,Small,Kolkata
38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0,Hybrid,Finance,Medium,Mumbai
49.0,Male,PhD,Director of Operations,21.0,180000.0,Hybrid,Healthcare,Small,Delhi
29.0,Female,Bachelor's,Junior Marketing Specialist,2.0,40000.0,On-site,Retail,Large,Kolkata
35.0,Male,Bachelor's,Senior Business Development Manager,7.0,90000.0,Hybrid,Finance,Small,Chennai
45.0,Female,Master's,Senior HR Manager,14.0,140000.0,On-site,Finance,Medium,Hyderabad
33.0,Male,Bachelor's,Junior Financial Analyst,4.0,60000.0,On-site,Healthcare,Medium,Chennai
40.0,Female,Bachelor's,Senior Marketing Manager,12.0,130000.0,Remote,Technology,Small,Pune
44.0,Male,PhD,Senior Data Scientist,16.0,160000.0,Remote,Consulting,Large,Kolkata
30.0,Female,Bachelor's,Junior Operations Coordinator,2.0,40000.0,On-site,Healthcare,Medium,Pune
37.0,Male,Bachelor's,Senior Marketing Analyst,9.0,100000.0,Hybrid,Healthcare,Large,Delhi
48.0,Female,Master's,Director of HR,20.0,180000.0,Remote,Consulting,Medium,Mumbai
31.0,Male,Bachelor's,Junior Project Manager,3.0,55000.0,Hybrid,Technology,Medium,Pune
38.0,Female,Bachelor's,Senior Operations Coordinator,9.0,120000.0,Remote,Technology,Small,Hyderabad
45.0,Male,PhD,Senior Data Engineer,16.0,150000.0,Hybrid,Technology,Large,Hyderabad
33.0,Female,Bachelor's,Junior Marketing Manager,5.0,70000.0,Remote,Healthcare,Large,Chennai
36.0,Male,Bachelor's,Senior Business Analyst,8.0,95000.0,Hybrid,Healthcare,Medium,Pune
49.0,Female,Master's,Director of Marketing,21.0,180000.0,On-site,Retail,Small,Kolkata
31.0,Male,Bachelor's,Junior Operations Analyst,3.0,50000.0,On-site,Manufacturing,Medium,Mumbai
42.0,Female,Bachelor's,Senior Project Manager,12.0,120000.0,Hybrid,Manufacturing,Medium,Bangalore
47.0,Male,Master's,Director of Marketing,19.0,170000.0,Hybrid,Consulting,Medium,Chennai
29.0,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0,Hybrid,Finance,Large,Delhi
35.0,Male,Bachelor's,Senior Financial Manager,9.0,100000.0,Remote,Education,Small,Delhi
44.0,Female,PhD,Senior Product Designer,15.0,150000.0,On-site,Education,Small,Pune
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0,Remote,Finance,Large,Mumbai
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,Hybrid,Manufacturing,Small,Bangalore
44.0,Male,Bachelor's,Senior Software Engineer,13.0,130000.0,Hybrid,Finance,Large,Mumbai
34.0,Female,Master's,Senior Financial Advisor,6.0,80000.0,On-site,Education,Medium,Kolkata
36.0,Male,Bachelor's,Senior Marketing Specialist,8.0,95000.0,On-site,Retail,Large,Chennai
30.0,Female,Bachelor's,Junior HR Coordinator,2.0,40000.0,Remote,Manufacturing,Large,Pune
37.0,Male,Bachelor's,Senior Business Development Manager,10.0,120000.0,Hybrid,Finance,Medium,Mumbai
45.0,Female,Master's,Senior Marketing Manager,16.0,160000.0,On-site,Education,Large,Chennai
32.0,Male,Bachelor's,Junior Financial Advisor,4.0,65000.0,Hybrid,Finance,Small,Hyderabad
39.0,Female,Bachelor's,Senior Project Manager,12.0,130000.0,Hybrid,Technology,Medium,Bangalore
47.0,Male,PhD,Director of Engineering,20.0,180000.0,Hybrid,Finance,Small,Chennai
29.0,Female,Bachelor's,Junior Marketing Analyst,2.0,40000.0,On-site,Technology,Small,Kolkata
36.0,Male,Bachelor's,Senior Operations Manager,9.0,100000.0,Remote,Finance,Large,Kolkata
43.0,Female,PhD,Senior Data Scientist,15.0,150000.0,On-site,Manufacturing,Medium,Mumbai
32.0,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000.0,On-site,Healthcare,Small,Pune
38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0,Remote,Education,Large,Hyderabad
48.0,Male,Master's,Director of Marketing,21.0,180000.0,On-site,Finance,Small,Bangalore
31.0,Female,Bachelor's,Junior Business Development Associate,3.0,50000.0,On-site,Retail,Medium,Hyderabad
40.0,Male,Bachelor's,Senior Financial Analyst,12.0,130000.0,Hybrid,Retail,Small,Chennai
45.0,Female,PhD,Senior UX Designer,16.0,160000.0,On-site,Consulting,Large,Bangalore
33.0,Male,Bachelor's,Junior Product Manager,4.0,60000.0,Hybrid,Retail,Large,Pune
36.0,Female,Bachelor's,Senior Marketing Manager,8.0,95000.0,Remote,Manufacturing,Medium,Delhi
47.0,Male,Master's,Director of Operations,19.0,170000.0,On-site,Education,Medium,Pune
29.0,Female,Bachelor's,Junior Project Manager,2.0,40000.0,Remote,Retail,Small,Delhi
34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0,On-site,Consulting,Small,Kolkata
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0,On-site,Manufacturing,Large,Bangalore
33.0,Male,Bachelor's,Junior Marketing Specialist,5.0,70000.0,On-site,Technology,Large,Chennai
35.0,Female,Bachelor's,Senior Financial Manager,8.0,90000.0,Hybrid,Technology,Medium,Delhi
43.0,Male,Master's,Director of Marketing,18.0,170000.0,Hybrid,Education,Medium,Pune
31.0,Female,Bachelor's,Junior Financial Analyst,3.0,50000.0,Remote,Manufacturing,Medium,Delhi
41.0,Male,Bachelor's,Senior Product Manager,14.0,150000.0,On-site,Manufacturing,Large,Chennai
44.0,Female,PhD,Senior Data Engineer,16.0,160000.0,Hybrid,Retail,Large,Delhi
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0,On-site,Retail,Large,Mumbai
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,Remote,Healthcare,Small,Pune
45.0,Male,Master's,Director of Engineering,19.0,180000.0,On-site,Finance,Large,Chennai
28.0,Female,Bachelor's,Junior Operations Manager,1.0,35000.0,Remote,Consulting,Medium,Pune
36.0,Male,Bachelor's,Senior Business Development Manager,8.0,110000.0,On-site,Manufacturing,Small,Bangalore
44.0,Female,PhD,Senior Data Scientist,16.0,160000.0,Remote,Healthcare,Small,Hyderabad
31.0,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000.0,Hybrid,Consulting,Medium,Delhi
38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0,Hybrid,Education,Medium,Chennai
48.0,Male,Master's,Director of Marketing,21.0,180000.0,Hybrid,Technology,Medium,Hyderabad
31.0,Female,Bachelor's,Junior Business Development Associate,3.0,50000.0,On-site,Healthcare,Small,Delhi
40.0,Male,Bachelor's,Senior Financial Analyst,12.0,130000.0,Remote,Consulting,Small,Hyderabad
45.0,Female,PhD,Senior UX Designer,16.0,160000.0,Hybrid,Consulting,Large,Chennai
33.0,Male,Bachelor's,Junior Product Manager,4.0,60000.0,On-site,Finance,Large,Kolkata
36.0,Female,Bachelor's,Senior Marketing Manager,8.0,95000.0,Hybrid,Finance,Medium,Kolkata
47.0,Male,Master's,Director of Operations,19.0,170000.0,Remote,Healthcare,Medium,Mumbai
29.0,Female,Bachelor's,Junior Project Manager,2.0,40000.0,Hybrid,Healthcare,Medium,Kolkata
34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0,Remote,Finance,Large,Hyderabad
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0,Hybrid,Education,Small,Bangalore
33.0,Male,Bachelor's,Junior Marketing Specialist,5.0,70000.0,Remote,Manufacturing,Large,Pune
35.0,Female,Bachelor's,Senior Financial Manager,8.0,90000.0,Hybrid,Finance,Medium,Bangalore
43.0,Male,Master's,Director of Marketing,18.0,170000.0,On-site,Retail,Large,Delhi
31.0,Female,Bachelor's,Junior Financial Analyst,3.0,50000.0,Hybrid,Consulting,Small,Hyderabad
41.0,Male,Bachelor's,Senior Product Manager,14.0,150000.0,On-site,Consulting,Medium,Bangalore
44.0,Female,PhD,Senior Data Engineer,16.0,160000.0,Hybrid,Retail,Large,Mumbai
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0,On-site,Education,Small,Mumbai
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,Hybrid,Healthcare,Large,Kolkata
43.0,Male,Master's,Director of Operations,19.0,170000.0,Hybrid,Technology,Small,Hyderabad
29.0,Female,Bachelor's,Junior Project Manager,2.0,40000.0,Hybrid,Manufacturing,Medium,Kolkata
34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0,Hybrid,Technology,Medium,Hyderabad
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0,Hybrid,Education,Small,Delhi
